truckId,simulationId,tiempo
3321FBL,89e2794a-f385-45c2-a9be-d8cb5f293c72,"[995220.0, 113550.0, 1090530.0, 541110.0, 1359420.0, 1172190.0, 780120.0, 467820.0, 616320.0]"
3321FBL,8a1157ba-b8fc-4a05-9a47-6c63f4ed2005,"[4135260.0, 4078020.0]"
3321FBL,8c7a2f21-ae93-4afc-a62c-e49969b0bbad,"[1100010.0, 338010.0, 244320.0, 866850.0, 1436790.0, 1109850.0, 868020.0, 776550.0, 239310.0, 624120.0]"
3321FBL,8ef28810-cf55-4c6a-9487-55178eab727f,"[266010.0, 1349790.0, 210510.0, 563250.0, 240450.0, 165150.0, 819420.0, 685050.0]"
3321FBL,964fa073-b9dc-4aae-a09e-bec99b26c420,"[525960.0, 367320.0, 1114590.0, 1657200.0, 2374740.0]"
3321FBL,a0788763-3bd2-4720-8865-5f5332cf30a6,"[305310.0, 1974270.0, 1038930.0, 398580.0, 554460.0, 107340.0, 1051860.0, 851430.0, 1495770.0]"
3321FBL,a2bfd344-3b14-462a-82e7-d42aca54a650,"[1007790.0, 270240.0, 157050.0, 215370.0, 585060.0, 872160.0, 1458960.0, 580710.0, 1821390.0]"
3321FBL,a7a50e60-0e5d-4ef5-81a6-3a45d07aa0ee,"[447540.0, 652950.0, 1021650.0, 1650570.0, 1626060.0, 494220.0, 247110.0, 405150.0, 287250.0, 194580.0]"
3321FBL,a8a11526-6b9b-4143-bfb1-ffcae600a17e,"[2110050.0, 741270.0, 510360.0, 775230.0, 635400.0, 483420.0, 1118700.0, 1298430.0, 1190010.0, 1352940.0, 310260.0, 689160.0, 602430.0]"
3321FBL,aa6646e5-861e-4a3b-9e26-64a1f49a0cc5,"[910140.0, 235710.0, 430680.0, 799830.0, 1114200.0, 1294290.0, 1215630.0, 116130.0, 647820.0]"
3321FBL,ad3e8564-6f0a-47c9-90a2-263775928a6c,"[660390.0, 169080.0, 336810.0, 1815930.0, 2080230.0, 739020.0, 689220.0, 220410.0, 662250.0]"
3321FBL,add53270-8ec5-44a9-ba83-48d6583769d5,"[781680.0, 216840.0, 404490.0, 648810.0, 1174770.0, 806520.0, 1453650.0, 997290.0, 441120.0]"
3321FBL,aeec8199-893b-4784-8af9-31ef0f2b9857,"[811230.0, 1434420.0, 1477740.0, 361080.0, 195450.0, 984060.0]"
3321FBL,b303eb0b-ab9f-4205-9395-b765767260f0,"[660180.0, 167610.0, 117840.0, 477390.0, 249240.0, 2551770.0, 238050.0, 834750.0, 910320.0, 262080.0, 775350.0]"
3321FBL,b3f5280d-c680-4542-abe0-1e2a1a71fe8a,"[1654470.0, 1352220.0, 1720860.0, 294750.0, 217980.0]"
3321FBL,b40b6dec-826e-4891-b852-fb32f8802ada,"[656580.0, 122010.0, 322560.0, 363660.0, 264420.0, 500250.0]"
3321FBL,b73d351b-5ee8-4e4b-baf7-10882601f760,"[452760.0, 435090.0, 287220.0, 1063590.0, 241020.0, 202050.0, 453420.0, 707190.0, 391650.0, 601050.0]"
3321FBL,b8109082-8f07-42a4-ab27-2d428a678417,"[877230.0, 432750.0, 1129530.0, 2678070.0, 711150.0, 1013460.0, 780600.0, 1002960.0]"
3321FBL,bafe7676-7c4f-45a4-9c0d-c34153a00076,"[1101270.0, 116010.0, 485550.0, 449790.0, 529950.0, 379680.0, 464580.0, 1068960.0]"
3321FBL,bc87aba4-7ff5-4dec-8717-d3f73e5b67bf,"[650310.0, 433680.0, 575580.0, 261810.0, 825180.0, 408180.0, 328110.0, 416250.0, 574980.0, 184410.0, 179910.0, 700290.0]"
3321FBL,c16022a9-a452-42b9-ac93-9da2ca75a0a9,"[834990.0, 176250.0, 688020.0, 785430.0, 437220.0, 584760.0]"
3321FBL,c2bde931-8396-48f4-b42b-29cf5ec7d4ae,"[173730.0, 730830.0, 79650.0, 149820.0, 862890.0, 898560.0, 859800.0, 1179030.0, 1123530.0, 1453020.0, 822450.0]"
3321FBL,c5e37df4-62f2-47ea-a7d5-c0e5800f8247,"[705000.0, 714990.0, 324450.0, 152040.0, 658620.0, 1198920.0, 1066290.0, 1050360.0, 852660.0, 847290.0, 511560.0, 776280.0]"
3321FBL,c8ebe43a-148b-4db8-b44f-b0bcf14b241e,"[395760.0, 228750.0, 223710.0, 1740540.0, 1421730.0, 1716270.0, 718890.0, 65790.0, 185580.0, 206850.0, 750690.0]"
3321FBL,c983ab1d-9e61-4117-90b3-7de6d5d77607,"[500520.0, 434550.0, 370110.0, 148380.0, 535650.0, 403050.0, 563790.0, 889530.0, 232950.0, 586050.0]"
3321FBL,c9b658fc-7a0c-46d6-b81c-bfb321a39b1c,"[1209570.0, 959520.0, 365310.0, 874920.0, 1252560.0]"
3321FBL,c9deac37-c8cb-45c7-b0b1-71f81aa71835,"[2567550.0, 1106790.0, 1647990.0, 645180.0, 365220.0, 99780.0, 208350.0, 304080.0, 620490.0, 310650.0]"
3321FBL,cb8f3b8a-7943-4c7f-8749-92b4b6313228,"[188340.0, 474150.0, 353820.0, 159480.0, 104640.0, 490380.0, 499710.0, 218340.0, 289440.0, 193140.0, 322380.0]"
3321FBL,cfdac05b-ec01-4a38-a8f1-d8f55ce5f453,"[2210250.0, 1551630.0, 909120.0, 325020.0, 358680.0, 153780.0, 817320.0, 445920.0]"
3321FBL,cfe3f9b5-0b5b-4a0d-9311-1b3ef92261aa,"[554430.0, 1198050.0, 1040250.0, 135540.0, 397320.0, 687660.0, 417420.0, 510390.0]"
3321FBL,d170880e-2bd6-4bfc-9e3b-6eb3b40b4384,"[1047780.0, 1431900.0, 1944750.0, 183780.0, 750690.0, 388350.0, 252510.0, 108780.0, 100080.0, 245310.0, 615180.0]"
3321FBL,d21ee0a0-421b-4fa9-a656-33c8d4a7fb05,"[562170.0, 758490.0, 105510.0, 90840.0, 130680.0, 1292820.0, 1154460.0, 1350060.0, 731400.0, 980730.0, 1471890.0]"
3321FBL,da12ce1a-9c67-4ff9-923e-8dac24549fe3,"[2608530.0, 2212560.0, 958350.0]"
3321FBL,daf9075d-fdfe-456b-8c80-4f5ce35d11ea,"[399030.0, 585150.0, 737520.0, 212880.0, 1239330.0, 560220.0, 246180.0, 544890.0, 199050.0, 538890.0, 550860.0]"
3321FBL,de0b7e1c-aa0a-46d5-82c0-9a38bbc30cbe,"[797280.0, 395910.0, 85740.0, 345450.0, 589680.0, 148140.0, 141540.0, 203310.0, 811620.0]"
3321FBL,e4fe3aec-1b0f-45b6-9921-84f4f7da350e,"[654630.0, 446220.0, 379920.0, 384510.0, 835500.0, 735570.0, 110550.0, 279480.0, 348780.0, 279720.0, 255810.0, 660090.0]"
3321FBL,e7994090-f25d-4c51-af2a-9db9c65cff6f,"[760290.0, 237990.0, 1085460.0, 252780.0, 164940.0, 756690.0, 344280.0, 117180.0, 343950.0, 727860.0]"
3321FBL,ebda61a0-2d8b-4999-a480-8aac6aad374d,"[754470.0, 880740.0, 727170.0, 801990.0, 481980.0, 857130.0, 915870.0]"
3321FBL,ed82dd43-3323-4d9a-b5f8-7efb07f2c76e,"[773970.0, 677820.0, 1745430.0, 168810.0, 1749930.0, 1207800.0, 1010790.0, 301410.0, 387150.0]"
